ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
640,2025-06-04T12:12:02.846012,NYC_GOID_000369,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
641,2025-06-04T12:12:02.846069,NYC_GOID_000371,PrincipalOfficerFullName,,Renee Campion,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
642,2025-06-04T12:12:02.846128,NYC_GOID_000371,PrincipalOfficerGivenName,,Renee,System_NameParseRule,Parsed from: 'Renee Campion',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
643,2025-06-04T12:12:02.846157,NYC_GOID_000371,PrincipalOfficerFamilyName,,Campion,System_NameParseRule,Parsed from: 'Renee Campion',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
644,2025-06-04T12:12:02.846189,NYC_GOID_000373,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
645,2025-06-04T12:12:02.846237,NYC_GOID_000374,PrincipalOfficerFullName,,Jacques Jiha,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
646,2025-06-04T12:12:02.846287,NYC_GOID_000374,PrincipalOfficerGivenName,,Jacques,System_NameParseRule,Parsed from: 'Jacques Jiha',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
647,2025-06-04T12:12:02.846315,NYC_GOID_000374,PrincipalOfficerFamilyName,,Jiha,System_NameParseRule,Parsed from: 'Jacques Jiha',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
648,2025-06-04T12:12:02.846385,NYC_GOID_000377,PrincipalOfficerFullName,,Neil Matthew,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
649,2025-06-04T12:12:02.846442,NYC_GOID_000377,PrincipalOfficerGivenName,,Neil,System_NameParseRule,Parsed from: 'Neil Matthew',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
650,2025-06-04T12:12:02.846470,NYC_GOID_000377,PrincipalOfficerFamilyName,,Matthew,System_NameParseRule,Parsed from: 'Neil Matthew',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
651,2025-06-04T12:12:02.846504,NYC_GOID_000380,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
652,2025-06-04T12:12:02.846559,NYC_GOID_000382,PrincipalOfficerFullName,,Matthew Fraser,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
653,2025-06-04T12:12:02.846607,NYC_GOID_000382,PrincipalOfficerGivenName,,Matthew,System_NameParseRule,Parsed from: 'Matthew Fraser',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
654,2025-06-04T12:12:02.846634,NYC_GOID_000382,PrincipalOfficerFamilyName,,Fraser,System_NameParseRule,Parsed from: 'Matthew Fraser',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
655,2025-06-04T12:12:02.846694,NYC_GOID_000384,PrincipalOfficerFullName,,Abby Jo Sigal,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
656,2025-06-04T12:12:02.846762,NYC_GOID_000384,PrincipalOfficerGivenName,,Abby,System_NameParseRule,Parsed from: 'Abby Jo Sigal',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
657,2025-06-04T12:12:02.846788,NYC_GOID_000384,PrincipalOfficerMiddleNameOrInitial,,Jo,System_NameParseRule,Parsed from: 'Abby Jo Sigal',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
658,2025-06-04T12:12:02.846812,NYC_GOID_000384,PrincipalOfficerFamilyName,,Sigal,System_NameParseRule,Parsed from: 'Abby Jo Sigal',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
659,2025-06-04T12:12:02.846866,NYC_GOID_000385,PrincipalOfficerFullName,,Vijah Ramjattan,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
660,2025-06-04T12:12:02.846916,NYC_GOID_000385,PrincipalOfficerGivenName,,Vijah,System_NameParseRule,Parsed from: 'Vijah Ramjattan',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
661,2025-06-04T12:12:02.846942,NYC_GOID_000385,PrincipalOfficerFamilyName,,Ramjattan,System_NameParseRule,Parsed from: 'Vijah Ramjattan',MyName_Phase6_SupplementalAndGlobalRun,name_parse_success
662,2025-06-04T12:12:02.846972,NYC_GOID_000386,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
663,2025-06-04T12:12:02.846997,NYC_GOID_000387,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_SupplementalAndGlobalRun,name_parse_review_needed
