Row(s),Column,feedback
NYC_GOID_000344,name,"Set to ""Office of the Administrative Justice Coordinator"""
NYC_GOID_000344,name_alphabetized,"Set to ""Administrative Justice Coordinator, Office of the"""
NYC_GOID_000355,organization_type,"Set to ""Division"""
NYC_GOID_000355,reports_to,"Set to ""Mayor's Office of Talent and Workforce Development"""
NYC_GOID_000468,name,"Set to ""New York City Young Men's Initiative"""
NYC_GOID_000468,name_alphabetized,"Set to ""Young Men's Initiative, New York City"""
NYC_GOID_000468,alternate_or_former_names,"Set to ""Young Men's Initiative"""
NYC_GOID_000135,alternate_or_former_names,"Set to ""NYC Aging"""
NYC_GOID_000143,name,"Set to ""New York City Public Schools"""
NYC_GOID_000143,name_alphabetized,"Set to ""Public Schools, New York City"""
NYC_GOID_000143,alternate_or_former_names,"Set to ""Department of Education; NYC Public Schools"""
NYC_GOID_000144,name,"Set to ""Department of Environmental Protection"""
NYC_GOID_000144,name_alphabetized,"Set to ""Environmental Protection, Department of"""
NYC_GOID_000151,name,"Set to ""Department of Records and Information Services"""
NYC_GOID_000151,name_alphabetized,"Set to ""Records and Information Services, Department of"""
NYC_GOID_000152,name,"Set to ""New York City Department of Sanitation"""
NYC_GOID_000152,name_alphabetized,"Set to ""Sanitation, New York City Department of Sanitation"""
NYC_GOID_000152,alternate_or_former_names,"Set to ""Department of Sanitation; NYC Sanitation"""
NYC_GOID_000157,name,"Set to ""New York City Department of Transportation"""
NYC_GOID_000157,name_alphabetized,"Set to ""Transportation, New York City Department of"""
NYC_GOID_000157,alternate_or_former_names,"Set to ""Department of Transportation"""
NYC_GOID_000238,name,"Set to ""New York City Law Department"""
NYC_GOID_000238,name_alphabetized,"Set to ""Law Department, New York City"""
NYC_GOID_000238,alternate_or_former_names,"Set to ""Law Department; Office of the Corporation Counsel"""
NYC_GOID_000315,name,"Set to ""New York City Emergency Management"""
NYC_GOID_000315,name_alphabetized,"Set to ""Emergency Management, New York City"""
NYC_GOID_000315,alternate_or_former_names,"Set to ""NYC Emergency Management; Office of Emergency Management"""
NYC_GOID_100020,name,"Set to ""Office of the Inspector General for the NYPD"""
NYC_GOID_100020,name_alphabetized,"Set to ""Inspector General for the NYPD, Office of the"""
NYC_GOID_100020,acronym,"Set to ""OIG-NYPD"""
NYC_GOID_100020,alternate_or_former_acronyms,"Set to ""OIGNYPD"""
NYC_GOID_100020,reports_to,"Set to ""Department of Investigation"""
NYC_GOID_100024,name,"Set to ""New York City Tax Commission"""
NYC_GOID_100024,name_alphabetized,"Set to ""Tax Commission, New York City"""
NYC_GOID_100024,alternate_or_former_names,"Set to ""Tax Commission; NYC Tax Commission"""
NYC_GOID_000436,name,"Set to ""New York City Taxi and Limousine Commission"""
NYC_GOID_000436,name_alphabetized,"Set to ""Taxi and Limousine Commission, New York City"""
NYC_GOID_000436,alternate_or_former_names,"Set to ""Taxi and Limousine Commission"""
NYC_GOID_000436,alternate_or_former_acronyms,"Set to ""NYC TLC"""
NYC_GOID_000097,name,"Set to ""New York City Council"""
NYC_GOID_000097,name_alphabetized,"Set to ""City Council, New York City"""
NYC_GOID_000097,alternate_or_former_names,"Set to ""City Council"""
NYC_GOID_000123,name,"Set to ""Office of the New York City Comptroller"""
NYC_GOID_000123,name_alphabetized,"Set to ""Comptroller, Office of the New York City"""
NYC_GOID_000123,alternate_or_former_names,"Set to ""Comptroller"""
NYC_GOID_000251,name,"Set to ""Office of the Mayor"""
NYC_GOID_000251,name_alphabetized,"Set to ""Mayor, Office of the"""
NYC_GOID_000251,alternate_or_former_names,"Set to ""Office of the Mayor of the City of New York; Mayor's Office"""
NYC_GOID_000396,name,"Set to ""Office of the Public Advocate"""
NYC_GOID_000396,name_alphabetized,"Set to ""Public Advocate, Office of the"""
NYC_GOID_000396,alternate_or_former_names,"Set to ""Office of the Public Advocate for the City of New York; Public Advocate"""
NYC_GOID_000000,alternate_or_former_names,"Set to ""311"""
NYC_GOID_100013,url,"Set to ""https://www.nyc.gov/site/records/about/archival-review-board.page"""
NYC_GOID_000014,url,"Set to ""https://www.nyc.gov/site/records/about/archives-reference-and-research-advisory-board.page"""
NYC_GOID_000119,url,"Set to ""https://www.nyc.gov/site/doh/health/health-topics/mh-community-services-board.page"""
NYC_GOID_000120,url,"Set to ""https://www.nyc.gov/site/doh/health/health-topics/mh-community-services-board.page"""
NYC_GOID_000121,url,"Set to ""https://www.nyc.gov/site/doh/health/health-topics/mh-community-services-board.page"""
NYC_GOID_000122,url,"Set to ""https://www.nyc.gov/site/doh/health/health-topics/mh-community-services-board.page"""
NYC_GOID_000179,url,"Set to ""https://edc.nyc/advisory-council"""
NYC_GOID_000232,url,"Set to ""https://www.nyc.gov/office-of-the-mayor/news/457-23/mayor-adams-creation-new-york-city-s-first-jewish-advisory-council"""
NYC_GOID_000233,url,"Set to ""https://www.nyc.gov/site/acs/about/data-analysis.page"""
NYC_GOID_000237,url,"Set to ""https://www.nyc.gov/site/mome/news/latin-media-commission.page"""
NYC_GOID_000338,url,"Set to ""https://www.nyc.gov/site/nonprofits/about/advisory-council.page"""
NYC_GOID_000423,url,"Set to ""https://nyc-business.nyc.gov/nycbusiness/business-services/regulatory-assistance/small-business-advisory-commission"""
NYC_GOID_000428,url,"Set to ""https://www.nyc.gov/site/ocdv/programs/end-street-harassment.page"""
NYC_GOID_000462,url,"Set to ""https://www.nyc.gov/site/wkdev/workforce-board/about-the-council.page"""
NYC_GOID_100025,url,"Set to ""https://www.nyc.gov/html/ymi/html/about/advisory-board.shtml"""
NYC_GOID_100026,url,"Set to ""https://www.nyc.gov/site/dycd/involved/boards-and-councils/nyc-youth-board.page"""
NYC_GOID_100002,url,"Set to ""https://www.snpnyc.org/"""
NYC_GOID_000060,url,"Set to ""https://bronxhistoricalsociety.org"""
NYC_GOID_000327,url,"Set to ""https://www.nycsss.org/"""
NYC_GOID_000093,url,"Set to ""https://www.weeksvillesociety.org/"""
NYC_GOID_000466,operational_status,"Set to ""Reorganized"""
NYC_GOID_100028,url,"Set to ""https://www.nyc.gov/site/officeconversions/index.page"""
NYC_GOID_000126,url,"Set to ""https://www.javitscenter.com/"""
NYC_GOID_000464,url,"Set to ""https://www.911memorial.org/"""
NYC_GOID_000464,organization_type,"Set to ""Nonprofit Organization"""
NYC_GOID_000322,url,"Set to ""https://nymir.org/"""
NYC_GOID_000325,url,"Set to ""https://www.preservationtrust.org/"""
NYC_GOID_000326,url,"Set to ""https://www.nycsbus.com/"""
NYC_GOID_000410,url,"Set to ""https://www.nychdc.com/subsidiaries/remic"""
NYC_GOID_000192,url,"Set to ""https://nycfirepension.org/"""
NYC_GOID_000059,url,"Set to ""https://www.amnh.org/"""
NYC_GOID_000012,url,"Set to ""https://www.nycacc.org/"""
NYC_GOID_000168,url,"Set to ""https://www.bronxda.nyc.gov/"""
NYC_GOID_000061,url,"Set to ""https://www.bronxmuseum.org/"""
NYC_GOID_000063,url,"Set to ""https://www.bbg.org/"""
NYC_GOID_000064,url,"Set to ""https://www.brooklynkids.org/"""
NYC_GOID_000065,url,"Set to ""https://www.brooklynmuseum.org/"""
NYC_GOID_000066,url,"Set to ""https://www.carnegiehall.org/"""
NYC_GOID_000127,url,"Set to ""https://www.caonynj.com/"""
NYC_GOID_100016,url,"Set to ""https://www1.nyc.gov/site/dcla/about/advisory-commission.page"""
NYC_GOID_000130,url,"Set to ""https://cirsplans.org/"""
NYC_GOID_000148,url,"Set to ""https://www.nyc.gov/site/doi/index.page"""
NYC_GOID_000067,url,"Set to ""https://www.elmuseo.org/"""
NYC_GOID_000068,url,"Set to ""https://www.flushingtownhall.org/"""
NYC_GOID_000196,url,"Set to ""https://forestparktrust.org/"""
NYC_GOID_000198,url,"Set to ""https://www.fundforpublicschools.org/"""
NYC_GOID_000205,url,"Set to ""https://edc.nyc/green-economy-action-plan"""
NYC_GOID_000206,url,"Set to ""https://sigreenbelt.org/"""
NYC_GOID_000218,url,"Set to ""https://hudsonriverpark.org/"""
NYC_GOID_000069,url,"Set to ""https://www.jcal.org/"""
NYC_GOID_000070,url,"Set to ""https://www.jazz.org/"""
NYC_GOID_000071,url,"Set to ""https://www.lct.org/"""
NYC_GOID_000257,url,"Set to ""https://www.nyc.gov/site/nonprofits/index.page"""
NYC_GOID_000270,url,"Set to ""https://www.nyc.gov/site/immigrants/index.page"""
NYC_GOID_000298,url,"Set to ""https://climate.cityofnewyork.us/utility-consumer-advocate/"""
NYC_GOID_000074,url,"Set to ""https://mjhnyc.org/"""
NYC_GOID_000075,url,"Set to ""https://www.moma.org/"""
NYC_GOID_000073,url,"Set to ""https://www.mcny.org/"""
NYC_GOID_000076,url,"Set to ""https://movingimage.us/"""
NYC_GOID_000077,url,"Set to ""https://www.nybg.org/"""
NYC_GOID_000078,url,"Set to ""https://www.nycballet.com/"""
NYC_GOID_000079,url,"Set to ""https://www.nycitycenter.org/"""
NYC_GOID_000390,url,"Set to ""https://www.nyc.gov/content/nycppf/pages/"""
NYC_GOID_000333,url,"Set to ""https://www.nycommunitytrust.org/"""
NYC_GOID_000335,url,"Set to ""https://www.nypl.org/"""
NYC_GOID_000391,url,"Set to ""https://www.pcdc.org/"""
NYC_GOID_000394,url,"Set to ""https://www.prospectpark.org/"""
NYC_GOID_000082,url,"Set to ""https://publictheater.org/"""
NYC_GOID_000083,url,"Set to ""https://queensbotanical.org/"""
NYC_GOID_000084,url,"Set to ""https://queensmuseum.org/"""
NYC_GOID_000085,url,"Set to ""https://queenstheatre.org/"""
NYC_GOID_000405,url,"Set to ""https://randallsisland.org/"""
NYC_GOID_000088,url,"Set to ""https://www.historicrichmondtown.org/"""
NYC_GOID_000091,url,"Set to ""https://studiomuseum.org/"""
NYC_GOID_000445,url,"Set to ""https://www1.nyc.gov/site/tsasc/index.page"""
NYC_GOID_000449,url,"Set to ""https://www.govisland.com/"""
NYC_GOID_000092,url,"Set to ""https://www.wavehill.org/"""
NYC_GOID_000094,url,"Set to ""https://www.wcs.org/"""
NYC_GOID_000061,principal_officer_full_name,"Set to ""Yvonne Garcia and Shirley Solomon (Co-Directors)"""
NYC_GOID_000061,principal_officer_title,"Set to ""Interim Co-Director"""
NYC_GOID_000062,principal_officer_full_name,"Set to ""Tamara McCaw"""
NYC_GOID_000062,principal_officer_last_name,"Set to ""McCaw"""
NYC_GOID_000062,principal_officer_first_name,"Set to ""Tamara"""
NYC_GOID_000062,principal_officer_title,"Set to ""Interim Chief Executive Officer"""
NYC_GOID_000063,principal_officer_full_name,"Set to ""Adrian Benepe"""
NYC_GOID_000063,principal_officer_last_name,"Set to ""Benepe"""
NYC_GOID_000063,principal_officer_first_name,"Set to ""Adrian"""
NYC_GOID_000063,principal_officer_title,"Set to ""President and CEO"""
NYC_GOID_000064,principal_officer_full_name,"Set to ""Atiba T. Edwards"""
NYC_GOID_000064,principal_officer_last_name,"Set to ""Edwards"""
NYC_GOID_000064,principal_officer_first_name,"Set to ""Atiba"""
NYC_GOID_000064,principal_officer_title,"Set to ""President and CEO"""
NYC_GOID_100015,principal_officer_full_name,"Set to ""Lexy Mayers"""
NYC_GOID_100015,principal_officer_last_name,"Set to ""Mayers"""
NYC_GOID_100015,principal_officer_first_name,"Set to ""Lexy"""
NYC_GOID_100015,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000127,principal_officer_full_name,"Set to ""Andrew Campbell"""
NYC_GOID_000127,principal_officer_last_name,"Set to ""Campbell"""
NYC_GOID_000127,principal_officer_first_name,"Set to ""Andrew"""
NYC_GOID_000127,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000100,principal_officer_full_name,"Set to ""Mohamed Attalla"""
NYC_GOID_000100,principal_officer_last_name,"Set to ""Attalla"""
NYC_GOID_000100,principal_officer_first_name,"Set to ""Mohamed"""
NYC_GOID_000100,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000133,principal_officer_full_name,"Set to ""Sharon Lukacs"""
NYC_GOID_000133,principal_officer_last_name,"Set to ""Lukacs"""
NYC_GOID_000133,principal_officer_first_name,"Set to ""Sharon"""
NYC_GOID_000133,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000181,principal_officer_full_name,"Set to ""Jennifer Maldonado"""
NYC_GOID_000181,principal_officer_last_name,"Set to ""Maldonado"""
NYC_GOID_000181,principal_officer_first_name,"Set to ""Jennifer"""
NYC_GOID_000181,principal_officer_title,"Set to ""Chief Executive Officer"""
NYC_GOID_000067,principal_officer_full_name,"Set to ""Patrick Charpenel"""
NYC_GOID_000067,principal_officer_last_name,"Set to ""Charpenel"""
NYC_GOID_000067,principal_officer_first_name,"Set to ""Patrick"""
NYC_GOID_000067,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000182,principal_officer_full_name,"Set to ""Asim Rehman"""
NYC_GOID_000182,principal_officer_last_name,"Set to ""Rehman"""
NYC_GOID_000182,principal_officer_first_name,"Set to ""Asim"""
NYC_GOID_000182,principal_officer_title,"Set to ""Chairperson (Commissioner & Chief Administrative Law Judge)"""
NYC_GOID_000183,principal_officer_full_name,"Set to ""Peggy Shepard"""
NYC_GOID_000183,principal_officer_last_name,"Set to ""Shepard"""
NYC_GOID_000183,principal_officer_first_name,"Set to ""Peggy"""
NYC_GOID_000183,principal_officer_title,"Set to ""Chair"""
NYC_GOID_000068,principal_officer_full_name,"Set to ""Ellen Kodadek"""
NYC_GOID_000068,principal_officer_last_name,"Set to ""Kodadek"""
NYC_GOID_000068,principal_officer_first_name,"Set to ""Ellen"""
NYC_GOID_000068,principal_officer_title,"Set to ""Executive and Artistic Director"""
NYC_GOID_000198,principal_officer_full_name,"Set to ""Stephen Cockrell"""
NYC_GOID_000198,principal_officer_last_name,"Set to ""Cockrell"""
NYC_GOID_000198,principal_officer_first_name,"Set to ""Stephen"""
NYC_GOID_000198,principal_officer_title,"Set to ""Chief Executive Officer"""
NYC_GOID_000201,principal_officer_full_name,"Set to ""Robert Holbrook"""
NYC_GOID_000201,principal_officer_last_name,"Set to ""Holbrook"""
NYC_GOID_000201,principal_officer_first_name,"Set to ""Robert"""
NYC_GOID_000201,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000206,principal_officer_full_name,"Set to ""Steven Cain"""
NYC_GOID_000206,principal_officer_last_name,"Set to ""Cain"""
NYC_GOID_000206,principal_officer_first_name,"Set to ""Steven"""
NYC_GOID_000206,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000214,principal_officer_full_name,"Set to ""Guillermo Chacón"""
NYC_GOID_000214,principal_officer_last_name,"Set to ""Chacón"""
NYC_GOID_000214,principal_officer_first_name,"Set to ""Guillermo"""
NYC_GOID_000214,principal_officer_title,"Set to ""Chair"""
NYC_GOID_000219,principal_officer_full_name,"Set to ""Andy Kitzmann"""
NYC_GOID_000219,principal_officer_last_name,"Set to ""Kitzmann"""
NYC_GOID_000219,principal_officer_first_name,"Set to ""Andy"""
NYC_GOID_000219,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000074,principal_officer_full_name,"Set to ""Jack Kliger"""
NYC_GOID_000074,principal_officer_last_name,"Set to ""Kliger"""
NYC_GOID_000074,principal_officer_first_name,"Set to ""Jack"""
NYC_GOID_000074,principal_officer_title,"Set to ""President & CEO"""
NYC_GOID_000073,principal_officer_full_name,"Set to ""Stephanie Hill Wilchfort"""
NYC_GOID_000073,principal_officer_last_name,"Set to ""Wilchfort"""
NYC_GOID_000073,principal_officer_first_name,"Set to ""Stephanie"""
NYC_GOID_000073,principal_officer_title,"Set to ""Ronay Menschel Director and President"""
NYC_GOID_000076,principal_officer_full_name,"Set to ""Aziz Isham"""
NYC_GOID_000076,principal_officer_last_name,"Set to ""Isham"""
NYC_GOID_000076,principal_officer_first_name,"Set to ""Aziz"""
NYC_GOID_000076,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000079,principal_officer_full_name,"Set to ""Michael S. Rosenberg"""
NYC_GOID_000079,principal_officer_last_name,"Set to ""Rosenberg"""
NYC_GOID_000079,principal_officer_first_name,"Set to ""Michael"""
NYC_GOID_000079,principal_officer_title,"Set to ""President & CEO"""
NYC_GOID_000314,principal_officer_full_name,"Set to ""Dennis Walcott"""
NYC_GOID_000314,principal_officer_last_name,"Set to ""Walcott"""
NYC_GOID_000314,principal_officer_first_name,"Set to ""Dennis"""
NYC_GOID_000314,principal_officer_title,"Set to ""Chair"""
NYC_GOID_000330,principal_officer_full_name,"Set to ""Andrew Albert"""
NYC_GOID_000330,principal_officer_last_name,"Set to ""Albert"""
NYC_GOID_000330,principal_officer_first_name,"Set to ""Andrew"""
NYC_GOID_000330,principal_officer_title,"Set to ""NYCTRC Chair & MTA Board Member"""
NYC_GOID_000333,principal_officer_full_name,"Set to ""Jamie Drake"""
NYC_GOID_000333,principal_officer_last_name,"Set to ""Jamie"""
NYC_GOID_000333,principal_officer_first_name,"Set to ""Drake"""
NYC_GOID_000333,principal_officer_title,"Set to ""Chair"""
NYC_GOID_000080,principal_officer_full_name,"Set to ""Lisa J. Gugenheim"""
NYC_GOID_000080,principal_officer_last_name,"Set to ""Gugenheim"""
NYC_GOID_000080,principal_officer_first_name,"Set to ""Lisa"""
NYC_GOID_000080,principal_officer_title,"Set to ""CEO and President"""
NYC_GOID_100020,principal_officer_full_name,"Set to ""Jeanene Barrett"""
NYC_GOID_100020,principal_officer_last_name,"Set to ""Jeanene"""
NYC_GOID_100020,principal_officer_first_name,"Set to ""Barrett"""
NYC_GOID_100020,principal_officer_title,"Set to ""Inspector General"""
NYC_GOID_100017,principal_officer_full_name,"Set to ""Jeffrey Garcia"""
NYC_GOID_100017,principal_officer_last_name,"Set to ""Garcia"""
NYC_GOID_100017,principal_officer_first_name,"Set to ""Jeffrey"""
NYC_GOID_100017,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000391,principal_officer_full_name,"Set to ""Louise Cohen"""
NYC_GOID_000391,principal_officer_last_name,"Set to ""Cohen"""
NYC_GOID_000391,principal_officer_first_name,"Set to ""Louise"""
NYC_GOID_000391,principal_officer_title,"Set to ""CEO"""
NYC_GOID_000081,principal_officer_full_name,"Set to ""Connie Butler"""
NYC_GOID_000081,principal_officer_last_name,"Set to ""Butler"""
NYC_GOID_000081,principal_officer_first_name,"Set to ""Connie"""
NYC_GOID_000081,principal_officer_title,"Set to ""The Agnes Gund Director"""
NYC_GOID_000083,principal_officer_full_name,"Set to ""Evie Hantzopoulos"""
NYC_GOID_000083,principal_officer_last_name,"Set to ""Hantzopoulos"""
NYC_GOID_000083,principal_officer_first_name,"Set to ""Evie"""
NYC_GOID_000083,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000084,principal_officer_full_name,"Set to ""Sally Tallant"""
NYC_GOID_000084,principal_officer_last_name,"Set to ""Tallant"""
NYC_GOID_000084,principal_officer_first_name,"Set to ""Sally"""
NYC_GOID_000084,principal_officer_title,"Set to ""President and Executive Director"""
NYC_GOID_000085,principal_officer_full_name,"Set to ""Taryn Sacramone"""
NYC_GOID_000085,principal_officer_last_name,"Set to ""Sacramone"""
NYC_GOID_000085,principal_officer_first_name,"Set to ""Taryn"""
NYC_GOID_000085,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000086,principal_officer_full_name,"Set to ""Jessica Baker Vodoor"""
NYC_GOID_000086,principal_officer_last_name,"Set to ""Vodoor"""
NYC_GOID_000086,principal_officer_first_name,"Set to ""Jessica"""
NYC_GOID_000086,principal_officer_title,"Set to ""President & CEO"""
NYC_GOID_000087,principal_officer_full_name,"Set to ""Dina Rosenthal"""
NYC_GOID_000087,principal_officer_last_name,"Set to ""Rosenthal"""
NYC_GOID_000087,principal_officer_first_name,"Set to ""Dina"""
NYC_GOID_000087,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000088,principal_officer_full_name,"Set to ""Jessica B. Phillips"""
NYC_GOID_000088,principal_officer_last_name,"Set to ""Phillips"""
NYC_GOID_000088,principal_officer_first_name,"Set to ""Jessica"""
NYC_GOID_000088,principal_officer_title,"Set to ""Chief Executive Officer"""
NYC_GOID_000089,principal_officer_full_name,"Set to ""Janice Monger"""
NYC_GOID_000089,principal_officer_last_name,"Set to ""Monger"""
NYC_GOID_000089,principal_officer_first_name,"Set to ""Janice"""
NYC_GOID_000089,principal_officer_title,"Set to ""President & Chief Executive Officer"""
NYC_GOID_000090,principal_officer_full_name,"Set to ""Ken Mitchell"""
NYC_GOID_000090,principal_officer_last_name,"Set to ""Mitchell"""
NYC_GOID_000090,principal_officer_first_name,"Set to ""Ken"""
NYC_GOID_000090,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_100024,principal_officer_full_name,"Set to ""Robert J. Firestone"""
NYC_GOID_100024,principal_officer_last_name,"Set to ""Firestone"""
NYC_GOID_100024,principal_officer_first_name,"Set to ""Robert"""
NYC_GOID_100024,principal_officer_title,"Set to ""President"""
NYC_GOID_000452,principal_officer_full_name,"Set to ""Robert Cole"""
NYC_GOID_000452,principal_officer_last_name,"Set to ""Cole"""
NYC_GOID_000452,principal_officer_first_name,"Set to ""Robert"""
NYC_GOID_000452,principal_officer_title,"Set to ""Executive Vice President & General Counsel"""
NYC_GOID_000456,principal_officer_full_name,"Set to ""Wendy McClinton"""
NYC_GOID_000456,principal_officer_last_name,"Set to ""McClinton"""
NYC_GOID_000456,principal_officer_first_name,"Set to ""Wendy"""
NYC_GOID_000456,principal_officer_title,"Set to ""Chair"""
NYC_GOID_000092,principal_officer_full_name,"Set to ""Ray B. Oladapo-Johnson"""
NYC_GOID_000092,principal_officer_last_name,"Set to ""Oladapo-Johnson"""
NYC_GOID_000092,principal_officer_first_name,"Set to ""Ray"""
NYC_GOID_000092,principal_officer_title,"Set to ""President & Executive Director"""
NYC_GOID_000025,principal_officer_full_name,"Set to ""Carlo Costanza"""
NYC_GOID_000025,principal_officer_last_name,"Set to ""Costanza"""
NYC_GOID_000025,principal_officer_first_name,"Set to ""Carlo"""
NYC_GOID_000025,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000042,principal_officer_full_name,"Set to ""Paul Seamus Ryan"""
NYC_GOID_000042,principal_officer_last_name,"Set to ""Ryan"""
NYC_GOID_000042,principal_officer_first_name,"Set to ""Paul"""
NYC_GOID_000042,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000050,principal_officer_full_name,"Set to ""Alec Schierenbeck"""
NYC_GOID_000050,principal_officer_last_name,"Set to ""Schierenbeck"""
NYC_GOID_000050,principal_officer_first_name,"Set to ""Alec"""
NYC_GOID_000050,principal_officer_title,"Set to ""Executive Director"""
NYC_GOID_000247,principal_officer_full_name,"Set to ""Andrew S. Rendeiro"""
NYC_GOID_000247,principal_officer_last_name,"Set to ""Rendeiro"""
