ChangeID,timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
133,2025-06-11T17:08:40.578685,NYC_GOID_000208,PrincipalOfficerGivenName,,Steven,System_NameParseRule,Parsed from: 'Steven Cain',v0_6_pipeline_run,NAME_PARSE_SUCCESS
134,2025-06-11T17:08:40.578713,NYC_GOID_000208,PrincipalOfficerFamilyName,,Cain,System_NameParseRule,Parsed from: 'Steven Cain',v0_6_pipeline_run,NAME_PARSE_SUCCESS
135,2025-06-11T17:08:40.578813,NYC_GOID_000210,PrincipalOfficerFullName,,Marcel Van Ooyen,System_NameParseRule,Parsed from: 'Marcel Van Ooyen',v0_6_pipeline_run,NAME_PARSE_SUCCESS
136,2025-06-11T17:08:40.578844,NYC_GOID_000210,PrincipalOfficerGivenName,,Marcel,System_NameParseRule,Parsed from: 'Marcel Van Ooyen',v0_6_pipeline_run,NAME_PARSE_SUCCESS
137,2025-06-11T17:08:40.578871,NYC_GOID_000210,PrincipalOfficerFamilyName,,Van Ooyen,System_NameParseRule,Parsed from: 'Marcel Van Ooyen',v0_6_pipeline_run,NAME_PARSE_SUCCESS
138,2025-06-11T17:08:40.579122,NYC_GOID_000218,PrincipalOfficerFullName,,Noreen Doyle,System_NameParseRule,Parsed from: 'Noreen Doyle',v0_6_pipeline_run,NAME_PARSE_SUCCESS
139,2025-06-11T17:08:40.579155,NYC_GOID_000218,PrincipalOfficerGivenName,,Noreen,System_NameParseRule,Parsed from: 'Noreen Doyle',v0_6_pipeline_run,NAME_PARSE_SUCCESS
140,2025-06-11T17:08:40.579183,NYC_GOID_000218,PrincipalOfficerFamilyName,,Doyle,System_NameParseRule,Parsed from: 'Noreen Doyle',v0_6_pipeline_run,NAME_PARSE_SUCCESS
141,2025-06-11T17:08:40.579379,NYC_GOID_000224,PrincipalOfficerFullName,,Andrew Kimball,System_NameParseRule,Parsed from: 'Andrew Kimball',v0_6_pipeline_run,NAME_PARSE_SUCCESS
142,2025-06-11T17:08:40.579414,NYC_GOID_000224,PrincipalOfficerGivenName,,Andrew,System_NameParseRule,Parsed from: 'Andrew Kimball',v0_6_pipeline_run,NAME_PARSE_SUCCESS
143,2025-06-11T17:08:40.579442,NYC_GOID_000224,PrincipalOfficerFamilyName,,Kimball,System_NameParseRule,Parsed from: 'Andrew Kimball',v0_6_pipeline_run,NAME_PARSE_SUCCESS
144,2025-06-11T17:08:40.579566,NYC_GOID_000230,PrincipalOfficerFullName,,Terri Carta,System_NameParseRule,Parsed from: 'Terri Carta',v0_6_pipeline_run,NAME_PARSE_SUCCESS
145,2025-06-11T17:08:40.579598,NYC_GOID_000230,PrincipalOfficerGivenName,,Terri,System_NameParseRule,Parsed from: 'Terri Carta',v0_6_pipeline_run,NAME_PARSE_SUCCESS
146,2025-06-11T17:08:40.579626,NYC_GOID_000230,PrincipalOfficerFamilyName,,Carta,System_NameParseRule,Parsed from: 'Terri Carta',v0_6_pipeline_run,NAME_PARSE_SUCCESS
147,2025-06-11T17:08:40.579814,NYC_GOID_000235,PrincipalOfficerFullName,,Jeanny Pak,System_NameParseRule,Parsed from: 'Jeanny Pak',v0_6_pipeline_run,NAME_PARSE_SUCCESS
148,2025-06-11T17:08:40.579847,NYC_GOID_000235,PrincipalOfficerGivenName,,Jeanny,System_NameParseRule,Parsed from: 'Jeanny Pak',v0_6_pipeline_run,NAME_PARSE_SUCCESS
149,2025-06-11T17:08:40.579875,NYC_GOID_000235,PrincipalOfficerFamilyName,,Pak,System_NameParseRule,Parsed from: 'Jeanny Pak',v0_6_pipeline_run,NAME_PARSE_SUCCESS
150,2025-06-11T17:08:40.580324,NYC_GOID_000248,PrincipalOfficerFullName,,Kate Smith,System_NameParseRule,Parsed from: 'Kate Smith',v0_6_pipeline_run,NAME_PARSE_SUCCESS
151,2025-06-11T17:08:40.580357,NYC_GOID_000248,PrincipalOfficerGivenName,,Kate,System_NameParseRule,Parsed from: 'Kate Smith',v0_6_pipeline_run,NAME_PARSE_SUCCESS
152,2025-06-11T17:08:40.580385,NYC_GOID_000248,PrincipalOfficerFamilyName,,Smith,System_NameParseRule,Parsed from: 'Kate Smith',v0_6_pipeline_run,NAME_PARSE_SUCCESS
153,2025-06-11T17:08:40.581088,NYC_GOID_000268,PrincipalOfficerFullName,Jose Bayona,Jd Michaels,System_NameParseRule,Parsed from: 'Jd Michaels',v0_6_pipeline_run,NAME_PARSE_SUCCESS
154,2025-06-11T17:08:40.581122,NYC_GOID_000268,PrincipalOfficerGivenName,Jose,Jd,System_NameParseRule,Parsed from: 'Jd Michaels',v0_6_pipeline_run,NAME_PARSE_SUCCESS
155,2025-06-11T17:08:40.581150,NYC_GOID_000268,PrincipalOfficerFamilyName,Bayona,Michaels,System_NameParseRule,Parsed from: 'Jd Michaels',v0_6_pipeline_run,NAME_PARSE_SUCCESS
156,2025-06-11T17:08:40.581420,NYC_GOID_000275,PrincipalOfficerFullName,,Bryan Berge,System_NameParseRule,Parsed from: 'Bryan Berge',v0_6_pipeline_run,NAME_PARSE_SUCCESS
157,2025-06-11T17:08:40.581453,NYC_GOID_000275,PrincipalOfficerGivenName,,Bryan,System_NameParseRule,Parsed from: 'Bryan Berge',v0_6_pipeline_run,NAME_PARSE_SUCCESS
158,2025-06-11T17:08:40.581481,NYC_GOID_000275,PrincipalOfficerFamilyName,,Berge,System_NameParseRule,Parsed from: 'Bryan Berge',v0_6_pipeline_run,NAME_PARSE_SUCCESS
159,2025-06-11T17:08:40.581550,NYC_GOID_000276,PrincipalOfficerFullName,Betsy MacClean,Sherif Soliman,System_NameParseRule,Parsed from: 'Sherif Soliman',v0_6_pipeline_run,NAME_PARSE_SUCCESS
160,2025-06-11T17:08:40.581579,NYC_GOID_000276,PrincipalOfficerGivenName,Betsy,Sherif,System_NameParseRule,Parsed from: 'Sherif Soliman',v0_6_pipeline_run,NAME_PARSE_SUCCESS
161,2025-06-11T17:08:40.581606,NYC_GOID_000276,PrincipalOfficerFamilyName,MacClean,Soliman,System_NameParseRule,Parsed from: 'Sherif Soliman',v0_6_pipeline_run,NAME_PARSE_SUCCESS
162,2025-06-11T17:08:40.581961,NYC_GOID_000286,PrincipalOfficerFullName,,Marjorie Velázquez,System_NameParseRule,Parsed from: 'Marjorie Velázquez',v0_6_pipeline_run,NAME_PARSE_SUCCESS
163,2025-06-11T17:08:40.581995,NYC_GOID_000286,PrincipalOfficerGivenName,,Marjorie,System_NameParseRule,Parsed from: 'Marjorie Velázquez',v0_6_pipeline_run,NAME_PARSE_SUCCESS
164,2025-06-11T17:08:40.582023,NYC_GOID_000286,PrincipalOfficerFamilyName,,Velázquez,System_NameParseRule,Parsed from: 'Marjorie Velázquez',v0_6_pipeline_run,NAME_PARSE_SUCCESS
165,2025-06-11T17:08:40.582234,NYC_GOID_000291,PrincipalOfficerFullName,,Marjorie Sweeney,System_NameParseRule,Parsed from: 'Marjorie Sweeney',v0_6_pipeline_run,NAME_PARSE_SUCCESS
166,2025-06-11T17:08:40.582267,NYC_GOID_000291,PrincipalOfficerGivenName,,Marjorie,System_NameParseRule,Parsed from: 'Marjorie Sweeney',v0_6_pipeline_run,NAME_PARSE_SUCCESS
167,2025-06-11T17:08:40.582301,NYC_GOID_000291,PrincipalOfficerFamilyName,,Sweeney,System_NameParseRule,Parsed from: 'Marjorie Sweeney',v0_6_pipeline_run,NAME_PARSE_SUCCESS
168,2025-06-11T17:08:40.582383,NYC_GOID_000292,PrincipalOfficerFullName,,Kayla Mamelak Altus,System_NameParseRule,Parsed from: 'Kayla Mamelak Altus',v0_6_pipeline_run,NAME_PARSE_SUCCESS
169,2025-06-11T17:08:40.582415,NYC_GOID_000292,PrincipalOfficerGivenName,,Kayla,System_NameParseRule,Parsed from: 'Kayla Mamelak Altus',v0_6_pipeline_run,NAME_PARSE_SUCCESS
170,2025-06-11T17:08:40.582442,NYC_GOID_000292,PrincipalOfficerMiddleNameOrInitial,,Mamelak,System_NameParseRule,Parsed from: 'Kayla Mamelak Altus',v0_6_pipeline_run,NAME_PARSE_SUCCESS
171,2025-06-11T17:08:40.582468,NYC_GOID_000292,PrincipalOfficerFamilyName,,Altus,System_NameParseRule,Parsed from: 'Kayla Mamelak Altus',v0_6_pipeline_run,NAME_PARSE_SUCCESS
172,2025-06-11T17:08:40.583055,NYC_GOID_000320,PrincipalOfficerFullName,,Jamie Rubin,System_NameParseRule,Parsed from: 'Jamie Rubin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
173,2025-06-11T17:08:40.583131,NYC_GOID_000320,PrincipalOfficerGivenName,,Jamie,System_NameParseRule,Parsed from: 'Jamie Rubin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
174,2025-06-11T17:08:40.583165,NYC_GOID_000320,PrincipalOfficerFamilyName,,Rubin,System_NameParseRule,Parsed from: 'Jamie Rubin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
175,2025-06-11T17:08:40.583281,NYC_GOID_000325,PrincipalOfficerFullName,,Vlada Kenniff,System_NameParseRule,Parsed from: 'Vlada Kenniff',v0_6_pipeline_run,NAME_PARSE_SUCCESS
176,2025-06-11T17:08:40.583315,NYC_GOID_000325,PrincipalOfficerGivenName,,Vlada,System_NameParseRule,Parsed from: 'Vlada Kenniff',v0_6_pipeline_run,NAME_PARSE_SUCCESS
177,2025-06-11T17:08:40.583345,NYC_GOID_000325,PrincipalOfficerFamilyName,,Kenniff,System_NameParseRule,Parsed from: 'Vlada Kenniff',v0_6_pipeline_run,NAME_PARSE_SUCCESS
178,2025-06-11T17:08:40.583845,NYC_GOID_000344,PrincipalOfficerFullName,David B. Goldin,Deborah Maher,System_NameParseRule,Parsed from: 'Deborah Maher',v0_6_pipeline_run,NAME_PARSE_SUCCESS
179,2025-06-11T17:08:40.583879,NYC_GOID_000344,PrincipalOfficerGivenName,David,Deborah,System_NameParseRule,Parsed from: 'Deborah Maher',v0_6_pipeline_run,NAME_PARSE_SUCCESS
180,2025-06-11T17:08:40.583919,NYC_GOID_000344,PrincipalOfficerFamilyName,Goldin,Maher,System_NameParseRule,Parsed from: 'Deborah Maher',v0_6_pipeline_run,NAME_PARSE_SUCCESS
181,2025-06-11T17:08:40.584135,NYC_GOID_000351,PrincipalOfficerFullName,,Amber Cartwright,System_NameParseRule,Parsed from: 'Amber Cartwright',v0_6_pipeline_run,NAME_PARSE_SUCCESS
182,2025-06-11T17:08:40.584167,NYC_GOID_000351,PrincipalOfficerGivenName,,Amber,System_NameParseRule,Parsed from: 'Amber Cartwright',v0_6_pipeline_run,NAME_PARSE_SUCCESS
183,2025-06-11T17:08:40.584195,NYC_GOID_000351,PrincipalOfficerFamilyName,,Cartwright,System_NameParseRule,Parsed from: 'Amber Cartwright',v0_6_pipeline_run,NAME_PARSE_SUCCESS
184,2025-06-11T17:08:40.584642,NYC_GOID_000380,PrincipalOfficerFullName,,Robert Sarver,System_NameParseRule,Parsed from: 'Robert Sarver',v0_6_pipeline_run,NAME_PARSE_SUCCESS
185,2025-06-11T17:08:40.584675,NYC_GOID_000380,PrincipalOfficerGivenName,,Robert,System_NameParseRule,Parsed from: 'Robert Sarver',v0_6_pipeline_run,NAME_PARSE_SUCCESS
186,2025-06-11T17:08:40.584702,NYC_GOID_000380,PrincipalOfficerFamilyName,,Sarver,System_NameParseRule,Parsed from: 'Robert Sarver',v0_6_pipeline_run,NAME_PARSE_SUCCESS
187,2025-06-11T17:08:40.584921,NYC_GOID_000387,PrincipalOfficerFullName,,Melissa Aviles-Ramos,System_NameParseRule,Parsed from: 'Melissa Aviles-Ramos',v0_6_pipeline_run,NAME_PARSE_SUCCESS
188,2025-06-11T17:08:40.584953,NYC_GOID_000387,PrincipalOfficerGivenName,,Melissa,System_NameParseRule,Parsed from: 'Melissa Aviles-Ramos',v0_6_pipeline_run,NAME_PARSE_SUCCESS
189,2025-06-11T17:08:40.584980,NYC_GOID_000387,PrincipalOfficerFamilyName,,Aviles-Ramos,System_NameParseRule,Parsed from: 'Melissa Aviles-Ramos',v0_6_pipeline_run,NAME_PARSE_SUCCESS
190,2025-06-11T17:08:40.585214,NYC_GOID_000394,PrincipalOfficerFullName,,Morgan Monaco,System_NameParseRule,Parsed from: 'Morgan Monaco',v0_6_pipeline_run,NAME_PARSE_SUCCESS
191,2025-06-11T17:08:40.585246,NYC_GOID_000394,PrincipalOfficerGivenName,,Morgan,System_NameParseRule,Parsed from: 'Morgan Monaco',v0_6_pipeline_run,NAME_PARSE_SUCCESS
192,2025-06-11T17:08:40.585274,NYC_GOID_000394,PrincipalOfficerFamilyName,,Monaco,System_NameParseRule,Parsed from: 'Morgan Monaco',v0_6_pipeline_run,NAME_PARSE_SUCCESS
193,2025-06-11T17:08:40.585550,NYC_GOID_000401,PrincipalOfficerFullName,,Lois Rosenblatt,System_NameParseRule,Parsed from: 'Lois Rosenblatt',v0_6_pipeline_run,NAME_PARSE_SUCCESS
194,2025-06-11T17:08:40.585583,NYC_GOID_000401,PrincipalOfficerGivenName,,Lois,System_NameParseRule,Parsed from: 'Lois Rosenblatt',v0_6_pipeline_run,NAME_PARSE_SUCCESS
195,2025-06-11T17:08:40.585611,NYC_GOID_000401,PrincipalOfficerFamilyName,,Rosenblatt,System_NameParseRule,Parsed from: 'Lois Rosenblatt',v0_6_pipeline_run,NAME_PARSE_SUCCESS
196,2025-06-11T17:08:40.585772,NYC_GOID_000405,PrincipalOfficerFullName,,Deborah Maher,System_NameParseRule,Parsed from: 'Deborah Maher',v0_6_pipeline_run,NAME_PARSE_SUCCESS
197,2025-06-11T17:08:40.585804,NYC_GOID_000405,PrincipalOfficerGivenName,,Deborah,System_NameParseRule,Parsed from: 'Deborah Maher',v0_6_pipeline_run,NAME_PARSE_SUCCESS
198,2025-06-11T17:08:40.585832,NYC_GOID_000405,PrincipalOfficerFamilyName,,Maher,System_NameParseRule,Parsed from: 'Deborah Maher',v0_6_pipeline_run,NAME_PARSE_SUCCESS
199,2025-06-11T17:08:40.586078,NYC_GOID_000412,PrincipalOfficerFullName,,Edwina Frances Martin,System_NameParseRule,Parsed from: 'Edwina Frances Martin',v0_6_pipeline_run,NAME_PARSE_SUCCESS
