ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
v0_14_19,2025-07-12T14:23:04.098433,NYC_GOID_000042,Campaign Finance Board,PrincipalOfficerFullName,Paul Seamus Ryan,Frederick Schaffer,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Frederick Schaffer""",v0_14_pipeline_run,direct_set
v0_14_20,2025-07-12T14:23:04.098668,NYC_GOID_000025,Board of Standards and Appeals,PrincipalOfficerFullName,Carlo Costanza,Shampa Chanda,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Shampa Chanda""",v0_14_pipeline_run,direct_set
v0_14_21,2025-07-12T14:23:04.098904,NYC_GOID_000050,Charter Revision Commission,PrincipalOfficerGivenName,Richard,Alec,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Alec""",v0_14_pipeline_run,direct_set
v0_14_22,2025-07-12T14:23:04.099139,NYC_GOID_000050,Charter Revision Commission,PrincipalOfficerFamilyName,Buery,Schierenbeck,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Schierenbeck""",v0_14_pipeline_run,direct_set
v0_14_23,2025-07-12T14:23:04.099375,NYC_GOID_000143,New York City Public Schools,PrincipalOfficerFullName,"Melissa Aviles-Ramos""",Melissa Aviles-Ramos,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Melissa Aviles-Ramos""",v0_14_pipeline_run,direct_set
v0_14_24,2025-07-12T14:23:04.099611,NYC_GOID_000247,Mayor's Committee on City Marshals,PrincipalOfficerGivenName,Charles,Andrew,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Andrew""",v0_14_pipeline_run,direct_set
v0_14_25,2025-07-12T14:23:04.099848,NYC_GOID_000247,Mayor's Committee on City Marshals,PrincipalOfficerFamilyName,Destefano,Rendeiro,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Rendeiro""",v0_14_pipeline_run,direct_set
v0_14_26,2025-07-12T14:23:04.100139,NYC_GOID_000109,Commission to Combat Police Corruption,PrincipalOfficerFullName,Kathy Hirata Chin,Marnie L. Blit,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Marnie L. Blit""",v0_14_pipeline_run,direct_set
v0_14_27,2025-07-12T14:23:04.100438,NYC_GOID_000109,Commission to Combat Police Corruption,PrincipalOfficerGivenName,Kathy,Marnie,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Marnie""",v0_14_pipeline_run,direct_set
v0_14_28,2025-07-12T14:23:04.100691,NYC_GOID_000109,Commission to Combat Police Corruption,PrincipalOfficerFamilyName,Chin,Blit,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Blit""",v0_14_pipeline_run,direct_set
v0_14_29,2025-07-12T14:23:04.100939,NYC_GOID_000109,Commission to Combat Police Corruption,PrincipalOfficerTitle,Acting Chair,Executive Director,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Executive Director""",v0_14_pipeline_run,direct_set
v0_14_30,2025-07-12T14:23:04.101185,NYC_GOID_000103,Civil Service Commission,PrincipalOfficerFullName,Nancy G. Chaffetz,Amanda M. Wismans,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Amanda M. Wismans""",v0_14_pipeline_run,direct_set
v0_14_31,2025-07-12T14:23:04.101431,NYC_GOID_000103,Civil Service Commission,PrincipalOfficerGivenName,Nancy,Amanda,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Amanda""",v0_14_pipeline_run,direct_set
v0_14_32,2025-07-12T14:23:04.101686,NYC_GOID_000103,Civil Service Commission,PrincipalOfficerFamilyName,Chaffetz,Wismans,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Wismans""",v0_14_pipeline_run,direct_set
v0_14_33,2025-07-12T14:23:04.101931,NYC_GOID_000103,Civil Service Commission,PrincipalOfficerTitle,Commissioner and Chair,Executive Director and General Counsel,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Executive Director and General Counsel""",v0_14_pipeline_run,direct_set
v0_14_34,2025-07-12T14:23:04.102164,NYC_GOID_000138,Department of Citywide Administrative Services,PrincipalOfficerContactURL,https://www.nyc.gov/nyc-resources/mail/dcas-email-the-commissioner.page,https://www.nyc.gov/site/dcas/about/email-the-commissioner.page,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""https://www.nyc.gov/site/dcas/about/email-the-commissioner.page""",v0_14_pipeline_run,direct_set
v0_14_35,2025-07-12T14:23:04.102400,NYC_GOID_000144,Department of Environmental Protection,PrincipalOfficerContactURL,https://www.nyc.gov/nyc-resources/mail/dep-email-the-commissioner.page,https://www.nyc.gov/site/dep/about/email-the-commissioner.page,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""https://www.nyc.gov/site/dep/about/email-the-commissioner.page""",v0_14_pipeline_run,direct_set
v0_14_36,2025-07-12T14:23:04.102631,NYC_GOID_000150,Department of Probation,PrincipalOfficerContactURL,https://www.nyc.gov/nyc-resources/mail/dop-email-the-commissioner.page,https://www.nyc.gov/site/probation/about/email-the-commissioner.page,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""https://www.nyc.gov/site/probation/about/email-the-commissioner.page""",v0_14_pipeline_run,direct_set
v0_14_37,2025-07-12T14:23:04.102897,NYC_GOID_000316,New York City Employee Retirement System,PrincipalOfficerContactURL,https://www.nyc.gov/nyc-resources/mail/nycers-email-the-executive-director.page,https://mynycers.nycers.org/MyNYCERS/s/ED-Correspondence,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""https://mynycers.nycers.org/MyNYCERS/s/ED-Correspondence""",v0_14_pipeline_run,direct_set
v0_14_38,2025-07-12T14:23:04.103137,NYC_GOID_000390,New York City Police Pension Fund,PrincipalOfficerContactURL,https://www.nyc.gov/nyc-resources/mail/ppf-email-the-executive-director.page,https://www.nyc.gov/content/nycppf/pages/contact-the-fund,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""https://www.nyc.gov/content/nycppf/pages/contact-the-fund""",v0_14_pipeline_run,direct_set
v0_14_39,2025-07-12T14:23:04.103368,NYC_GOID_000436,New York City Taxi and Limousine Commission,PrincipalOfficerContactURL,https://www.nyc.gov/nyc-resources/mail/tlc-email-the-commissioner.page,https://www.nyc.gov/site/tlc/about/email-the-commissioner.page,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""https://www.nyc.gov/site/tlc/about/email-the-commissioner.page""",v0_14_pipeline_run,direct_set
v0_14_40,2025-07-12T14:23:04.103594,NYC_GOID_000003,Advisory Board on Implementation of Racial Justice Charter Amendments,URL,https://www.nyc.gov/office-of-the-mayor/news/267-23/mayor-adams-advisory-board-help-guide-city-s-implementation-racial-justice-charter,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_41,2025-07-12T14:23:04.103820,NYC_GOID_000006,Advisory Council to the Center for Workplace Accessibility and Inclusion,URL,https://www.nyc.gov/assets/wkdev/downloads/pdf/CWAI-Advisory-Council-Members.pdf,,NYCGO_v0_13_Edits_To_Make.csv,"Set to """"",v0_14_pipeline_run,direct_set
v0_14_42,2025-07-12T14:23:04.104054,NYC_GOID_000047,Center for Innovation through Data Intelligence,PrincipalOfficerFullName,MaryAnne Schretzman,Maryanne Schretzman,NYCGO_v0_13_Edits_To_Make.csv,"Set to ""Maryanne Schretzman""",v0_14_pipeline_run,direct_set
